year,season,fishery,area,t
2019,1,20,6,12730.3
2020,1,20,6,2617.45
2021,1,20,6,17834.2
2022,1,20,6,19905.6
2023,1,20,6,22035.6
2024,1,20,6,13843.3
1972,1,21,6,0
1973,1,21,6,131.089
1974,1,21,6,56.396
1975,1,21,6,0.971
1976,1,21,6,0
1977,1,21,6,0
1978,1,21,6,70.032
1979,1,21,6,3.3
1980,1,21,6,492.915
1981,1,21,6,36.208
1982,1,21,6,1282.12
1983,1,21,6,2756.54
1984,1,21,6,1521.27
1985,1,21,6,4457.94
1986,1,21,6,3044.85
1987,1,21,6,4211.2
1988,1,21,6,664.757
1989,1,21,6,27620.7
1990,1,21,6,5327.49
1991,1,21,6,29986.4
1992,1,21,6,3965.1
1993,1,21,6,5194.14
1994,1,21,6,3315.1
1995,1,21,6,18785.2
1996,1,21,6,16947.1
1997,1,21,6,16779.8
1998,1,21,6,5567.45
1999,1,21,6,3330.77
2000,1,21,6,20880.7
2001,1,21,6,3107.43
2002,1,21,6,3093.88
2003,1,21,6,37279.3
2004,1,21,6,14296.3
2005,1,21,6,22488.9
2006,1,21,6,20200.1
2007,1,21,6,37563.4
2008,1,21,6,20022.4
2009,1,21,6,20793.1
2010,1,21,6,34008.3
2011,1,21,6,85405.8
2012,1,21,6,38370.5
2013,1,21,6,30223.5
