rel.group,rel.area,rel.year,rel.season,program,rel.length,rec.fishery,rec.year,rec.season,rec.number
3,5,1991,2,RTTP,60,26,1992,3,1
5,5,1992,3,RTTP,22,10,1992,4,1
5,5,1992,3,RTTP,24,10,1992,3,1
5,5,1992,3,RTTP,24,12,1992,3,1
5,5,1992,3,RTTP,24,12,1993,1,1
5,5,1992,3,RTTP,26,10,1992,3,2
5,5,1992,3,RTTP,26,12,1992,3,8
5,5,1992,3,RTTP,26,12,1992,4,4
5,5,1992,3,RTTP,26,12,1993,1,1
5,5,1992,3,RTTP,28,10,1992,3,12
5,5,1992,3,RTTP,28,10,1992,4,5
5,5,1992,3,RTTP,28,12,1992,3,33
5,5,1992,3,RTTP,28,12,1992,4,3
5,5,1992,3,RTTP,30,10,1992,3,17
5,5,1992,3,RTTP,30,10,1992,4,3
5,5,1992,3,RTTP,30,10,1993,3,1
5,5,1992,3,RTTP,30,12,1992,3,39
5,5,1992,3,RTTP,30,12,1992,4,16
5,5,1992,3,RTTP,30,12,1993,1,2
5,5,1992,3,RTTP,32,10,1992,3,28
5,5,1992,3,RTTP,32,10,1993,1,1
5,5,1992,3,RTTP,32,12,1992,3,26
5,5,1992,3,RTTP,32,12,1992,4,74
5,5,1992,3,RTTP,32,12,1993,1,6
5,5,1992,3,RTTP,32,12,1993,2,2
5,5,1992,3,RTTP,34,10,1992,3,30
5,5,1992,3,RTTP,34,10,1992,4,9
5,5,1992,3,RTTP,34,10,1993,1,2
5,5,1992,3,RTTP,34,10,1993,4,1
5,5,1992,3,RTTP,34,12,1992,3,53
5,5,1992,3,RTTP,34,12,1992,4,70
5,5,1992,3,RTTP,34,12,1993,1,11
5,5,1992,3,RTTP,34,12,1993,3,1
5,5,1992,3,RTTP,36,10,1992,3,34
5,5,1992,3,RTTP,36,10,1992,4,10
5,5,1992,3,RTTP,36,10,1993,1,3
5,5,1992,3,RTTP,36,12,1992,3,166
5,5,1992,3,RTTP,36,12,1992,4,31
5,5,1992,3,RTTP,36,12,1993,1,17
5,5,1992,3,RTTP,36,12,1993,2,4
5,5,1992,3,RTTP,38,10,1992,3,27
5,5,1992,3,RTTP,38,10,1992,4,7
5,5,1992,3,RTTP,38,10,1993,1,2
5,5,1992,3,RTTP,38,12,1992,3,150
5,5,1992,3,RTTP,38,12,1992,4,5
5,5,1992,3,RTTP,38,12,1993,1,1
5,5,1992,3,RTTP,38,12,1993,2,1
5,5,1992,3,RTTP,38,26,1993,2,1
5,5,1992,3,RTTP,40,10,1992,3,25
5,5,1992,3,RTTP,40,10,1992,4,12
5,5,1992,3,RTTP,40,10,1993,1,2
5,5,1992,3,RTTP,40,12,1992,3,129
5,5,1992,3,RTTP,40,12,1992,4,7
5,5,1992,3,RTTP,40,12,1993,1,1
5,5,1992,3,RTTP,42,10,1992,3,16
5,5,1992,3,RTTP,42,10,1992,4,7
5,5,1992,3,RTTP,42,10,1995,3,1
5,5,1992,3,RTTP,42,12,1992,3,92
5,5,1992,3,RTTP,44,10,1992,3,14
5,5,1992,3,RTTP,44,10,1992,4,4
5,5,1992,3,RTTP,44,12,1992,3,81
5,5,1992,3,RTTP,44,12,1992,4,3
5,5,1992,3,RTTP,44,20,1993,1,1
5,5,1992,3,RTTP,44,26,1992,3,1
5,5,1992,3,RTTP,46,10,1992,3,7
5,5,1992,3,RTTP,46,10,1992,4,2
5,5,1992,3,RTTP,46,12,1992,3,31
5,5,1992,3,RTTP,46,12,1992,4,1
5,5,1992,3,RTTP,46,26,1992,4,1
5,5,1992,3,RTTP,48,10,1992,3,3
5,5,1992,3,RTTP,48,10,1992,4,1
5,5,1992,3,RTTP,48,12,1992,3,12
5,5,1992,3,RTTP,50,10,1992,3,3
5,5,1992,3,RTTP,50,12,1992,3,6
5,5,1992,3,RTTP,52,10,1992,3,1
5,5,1992,3,RTTP,52,12,1992,3,1
5,5,1992,3,RTTP,54,12,1992,3,1
6,5,1992,4,RTTP,24,12,1992,4,6
6,5,1992,4,RTTP,24,12,1993,1,1
6,5,1992,4,RTTP,24,12,1993,2,1
6,5,1992,4,RTTP,26,12,1992,4,8
